code,date,profit,income,net profit margine,asset turn over,equity multiplier,ROE
000019,1998/12/31,32.9032 ,131.1458 ,0.2509 ,0.2950 ,1.5399 ,0.1140 
000019,1997/12/31,30.1840 ,118.6695 ,0.2544 ,0.2760 ,1.5657 ,0.1099 
000019,1996/12/31,42.9626 ,112.8706 ,0.3806 ,0.2615 ,1.6804 ,0.1673 
000019,1995/12/31,5.6988 ,269.7296 ,0.0211 ,0.6190 ,1.8739 ,0.0245 
000019,1994/12/31,-4.0125 ,261.9436 ,-0.0153 ,0.6099 ,1.8866 ,-0.0176 
000019,1993/12/31,27.7429 ,367.1670 ,0.0756 ,0.9755 ,1.6635 ,0.1226 
000019,1992/12/31,21.2832 ,282.3749 ,0.0754 ,0.2388 ,2.5470 ,0.0458 
000557,2017/12/31,86.9915 ,659.6441 ,0.1319 ,0.1307 ,1.2679 ,0.0219 
000557,2016/12/31,8.2633 ,463.1259 ,0.0178 ,0.1743 ,1.3087 ,0.0041 
000557,2015/12/31,-17.1070 ,18.2809 ,-0.9358 ,0.0676 ,2.0409 ,-0.1291 
000557,2014/12/31,1.0586 ,8.3860 ,0.1262 ,0.0295 ,2.0241 ,0.0075 
000557,2013/12/31,3.5334 ,10.6944 ,0.3304 ,0.0368 ,2.0996 ,0.0256 
000557,2012/12/31,365.4302 ,3.7649 ,97.0613 ,0.0191 ,-1.0528 ,-1.9504 
000557,2011/12/31,-231.1973 ,0.0000 ,,0.0000 ,-0.2926 ,
000557,2010/12/31,-91.9530 ,0.0000 ,,0.0000 ,-0.7018 ,
000557,2009/12/31,184.4797 ,4.1038 ,44.9536 ,0.0147 ,-0.6109 ,-0.4030 
000557,2008/12/31,-269.0982 ,31.9043 ,-8.4345 ,0.0865 ,-0.6338 ,0.4623 
000557,2007/12/31,17.6301 ,30.9716 ,0.5692 ,0.0804 ,-0.8444 ,-0.0386 
000557,2006/12/31,-51.0006 ,18.8783 ,-2.7016 ,0.0428 ,-0.6556 ,0.0758 
000557,2005/12/31,5.7294 ,40.8900 ,0.1401 ,0.0809 ,-0.5597 ,-0.0063 
000557,2004/12/31,-346.4414 ,16.0160 ,-21.6310 ,0.0285 ,-0.7571 ,0.4674 
000557,2003/12/31,-62.0905 ,9.7186 ,-6.3888 ,0.0153 ,-1.2256 ,0.1198 
000557,2002/12/31,12.5934 ,33.0638 ,0.3809 ,0.0464 ,-1.4332 ,-0.0253 
000557,2001/12/31,-382.5957 ,27.1131 ,-14.1111 ,0.0171 ,54.7722 ,-13.2203 
000557,2000/12/31,-152.7816 ,154.8668 ,-0.9865 ,0.0641 ,2.8453 ,-0.1800 
